address,zip_code
"1808 KR, Benningbroek",1808 KR
"Jetlaan 816, 8779 EM, Holwierde",8779 EM
"4893 FF, Oss",4893 FF
"Nadiaring 992, 6189 BM, Slagharen",6189 BM
"7766 ZG, Overveen",7766 ZG
"7245 NT, Heeze",7245 NT
"2764 NQ, Terherne",2764 NQ
"Mustafaweg 488, 9748 BY, Taarlo",9748 BY
"1849 ZL, Sonnega",1849 ZL
"Aliciaring 665, 9673 IW, Windraak",9673 IW
"Michaelpad 580, 8046 PC, Oost West en Middelbeers",8046 PC
"3031 QF, Hengelo (Gld)",3031 QF
"1383 PV, Kapelle",1383 PV
"1075 IH, Hedikhuizen",1075 IH
"Rafboulevard 8, 8369 HA, Wetsens",8369 HA
"Wouterlaan 310, 5715 FY, Zenderen",5715 FY
"4530 IS, Sint Anthonis",4530 IS
"Luuklaan 729, 1004 CX, Sint Maartensbrug",1004 CX
"9401 UO, Haulerwijk",9401 UO
"Wesleyring 2, 8737 ZN, Roggel",8737 ZN
"6371 NU, Eagum",6371 NU
"2660 FA, Harbrinkhoek",2660 FA
"Demidreef 8, 7535 LE, Gellicum",7535 LE
"7439 AF, Alteveer gem Hoogeveen",7439 AF
"9083 EO, Sprang-Capelle",9083 EO
"4158 HQ, Tzum",4158 HQ
"1363 VZ, Jelsum",1363 VZ
"2373 KH, Ledeacker",2373 KH
"Yarasteeg 3, 1042 JK, Meerkerk",1042 JK
"6427 KH, Eck en Wiel",6427 KH
"Pimlaan 2, 4405 BJ, Grevenbicht",4405 BJ
"Isabelboulevard 678, 7046 UC, Scharmer",7046 UC
"Jacksingel 78, 3829 RX, Hoek",3829 RX
"Hiddestraat 10, 3858 DM, Woldendorp",3858 DM
"7736 AR, Toornwerd",7736 AR
"2057 JX, Megen",2057 JX
"1165 XY, De Bult",1165 XY
"Zoeyhof 93, 1935 HC, Ossenwaard",1935 HC
"Thomashof 947, 9573 OR, Smakt",9573 OR
"3249 ZT, Farmsum",3249 ZT
"Xavisteeg 8, 7625 BF, Sondel",7625 BF
"Benjaminpad 02, 5064 KZ, Wjelsryp",5064 KZ
"Maraboulevard 490, 3061 AN, Spanbroek",3061 AN
"7228 UV, Doniaga",7228 UV
"5815 UA, Ellertshaar",5815 UA
"Miabaan 4, 1546 ZT, Nijbroek",1546 ZT
"4120 II, Lemelerveld",4120 II
"6453 IQ, Klooster Lidlum",6453 IQ
"Timodreef 4, 8875 PX, Dussen",8875 PX
"Joshuabaan 1, 1377 KT, Boer",1377 KT
"6412 YG, Demen",6412 YG
"Sarasteeg 6, 6987 DJ, Snikzwaag",6987 DJ
"1699 YX, Castelre",1699 YX
"4410 EA, Kropswolde",4410 EA
"8715 XR, Kommerzijl",8715 XR
"6587 WG, Ellewoutsdijk",6587 WG
"1397 YV, Oranje",1397 YV
"Megandreef 0, 1457 IU, Lemmer",1457 IU
"7999 MD, Mook",7999 MD
"Ayasteeg 4, 6535 VA, Aalsmeerderbrug",6535 VA
"6661 RY, Brandwijk",6661 RY
"Casperdreef 0, 8450 UL, Katwoude",8450 UL
"3828 DI, Westerland",3828 DI
"Angelinabaan 489, 2981 IT, Nieuw-Beijerland",2981 IT
"5122 NK, Renkum",5122 NK
"1342 QU, Maasbree",1342 QU
"Daandreef 97, 3834 OC, Wichmond",3834 OC
"5404 FP, Muiden",5404 FP
"3865 KM, Koudekerke",3865 KM
"Kianboulevard 711, 6806 EI, Westknollendam",6806 EI
"Tylerweg 431, 2986 BN, Babyloniënbroek",2986 BN
"Lizzyboulevard 0, 5706 LA, Heerlen",5706 LA
"Thijmenlaan 59, 9650 RZ, Twello",9650 RZ
"Quinnsteeg 939, 7289 ZR, Bad Nieuweschans",7289 ZR
"Joëlring 7, 9591 VV, Almkerk",9591 VV
"8281 PN, Zutphen",8281 PN
"3064 SA, Born",3064 SA
"1611 PR, Oudeschans",1611 PR
"7887 PE, Laren",7887 PE
"8676 FG, Peest",8676 FG
"2974 AP, Blokker",2974 AP
"Beaupad 85, 5929 BH, Sint Pancras",5929 BH
"Sethpad 42, 5977 NM, Klooster Lidlum",5977 NM
"1295 PP, Naaldwijk",1295 PP
"5632 WD, Uitwellingerga",5632 WD
"2096 FH, Noordwijkerhout",2096 FH
"4521 QG, Aldtsjerk",4521 QG
"Matthijssteeg 0, 2990 TG, Sappemeer",2990 TG
"Feddehof 39, 8477 IC, Eys",8477 IC
"2862 ZC, Ledeacker",2862 ZC
"1476 SG, Bierum",1476 SG
"5226 ZN, Schiphol-Rijk",5226 ZN
"Evapad 130, 9174 IX, Ubbena",9174 IX
"Mickweg 35, 2486 HB, Vijlen",2486 HB
"9973 LF, Oostwoud",9973 LF
"7736 WK, Zweeloo",7736 WK
"1794 IO, Witte Paarden",1794 IO
"Lexhof 7, 1296 KP, Woldendorp",1296 KP
"1564 FW, Beesd",1564 FW
"5886 OM, Neerijnen",5886 OM
